event_id,event_date,attack_norm,target,country,event_themes,similarity,tg_msg_id,tg_date,tg_group,tg_threats,tg_message,delta_days,lead_time,tipo,evidence_target,evidence_cve,evidence_ransomware,evidence_actor,evidence_score
H01015,2024-01-19,vulnerability,Multiple organizations,,vuln_exploit,0.6579,T001443,2024-01-06,cissp,vuln_exploit,"exploit
Analytics
**Top 10 Vulnerabilities of 2023:**

1. **CVE-2023-34362**: MOVEit Vulnerability

2. **CVE-2023-23397**: MS Outlook PE

3. **CVE-2023-43641**: 1-Click RCE on GNOME

4. **CVE-2023-28252**: Windows CLFS PE

5. **CVE-****2023-2868**: Barracuda ESG CI

6. **CVE-2023-26360**: Adobe ColdFusion

7. **CVE-****2023-4966**: Citrix Bleed

8. **CVE-2023-22952**: SugarCRM RCE

9. **CVE-2023-24880**: Win Smart Screen Bypass
https://www.vicarius.io/vsociety/posts/windows-smartscreen-security-",-13,13,preditivo,,"CVE-2023-22952, CVE-2023-23397, CVE-2023-24880, CVE-2023-26360, CVE-2023-28252, CVE-2023-34362, CVE-2023-43641",,,28
H00248,2023-05-01,vulnerability,Level Finance,,vuln_exploit,0.5878,T001967,2023-04-27,cissp,vuln_exploit,"exploit
1. CVE-2023-21987, CVE-2023-21991:
Oracle VirtualBox (Core) Vulnerabilities
https://qriousec.github.io/post/vbox-pwn2own-2023

2. CVE-2023-1389:
TP-Link Archer/Qrious Security - WAN-side entry
https://www.zerodayinitiative.com/blog/2023/4/21/tp-link-wan-side-vulnerability-cve-2023-1389-added-to-the-mirai-botnet-arsenal


-Cyber Security awareness-

Up2date 4 Defense Today,
Secure Tomorrow
@CisoasaService
1402.02.08",-4,4,preditivo,,"CVE-2023-1389, CVE-2023-21987, CVE-2023-21991",,,12
H00370,2023-02-14,other,The Hatcher Agency,US,data_breach,0.5661,T002179,2023-02-03,cissp,vuln_exploit,"A new critical authentication vulnerability (CVE-2023-22501) has been discovered in Atlassian's Jira Service Management Server and Data Center products that could allow attackers to gain unauthorized access to vulnerable instances.
Read: https://thehackernews.com/2023/02/atlassians-jira-software-found.html

Attention: Cyber criminals are actively exploiting known vulnerabilities in Oracle E-Business Suite (CVE-2022-21587) and SugarCRM (CVE-2023-22952) systems. Update now!
Read: https://thehacker",-11,11,preditivo,,"CVE-2022-21587, CVE-2023-22501, CVE-2023-22952",,,12
H00862,2023-11-25,vulnerability,Multiple organizations,>1,vuln_exploit,0.6854,T001493,2023-11-13,cissp,vuln_exploit,"Mexploit
Threat Research
1. Cisco IOS XE system WebUI unauthorized command execution vulnerability analysis
https://paper.seebug.org/3072

2. CVE-2023-44275/CVE-2023-44276:
**Vulnerabilities in OPNsense**
(FreeBSD-based firewall routing OS)
https://x41-dsec.de/lab/advisories/x41-2023-001-opnsense


⁩-Cyber Security awareness-
 
Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.08.22",-12,12,preditivo,,"CVE-2023-44275, CVE-2023-44276",,,8
H00772,2023-11-05,malware,Multiple organizations,>1,"ransomware,malware,vuln_exploit",0.6541,T001520,2023-10-25,cissp,"data_breach,vuln_exploit","exploit
1. CVE-2023-4966:
Citrix NetScaler ADC/Gateway Bleed - Session Tokens Leak
https://github.com/assetnote/exploits/tree/main/citrix/CVE-2023-4966

2. CVE-2023-38140:
Windows Kernel Paged Pool Memory Disclosure
https://packetstormsecurity.com/files/cve/CVE-2023-38140


⁩-Cyber Security awareness-
 
Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.08.03",-11,11,preditivo,,"CVE-2023-38140, CVE-2023-4966",,,8
H00496,2023-07-31,malware,Developers involved in the cryptocurrency sphere,>1,malware,0.6362,T001764,2023-07-17,cissp,"malware,vuln_exploit","Cybercriminals are leveraging exploits for CVE-2021-40444 and CVE-2022-30190 to execute code through malicious Word files. Once opened, LokiBot malware is downloaded, logging keystrokes, capturing screenshots, and stealing data.   
Read: https://thehackernews.com/2023/07/cybercriminals-exploit-microsoft-word.html


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.04.26",-14,14,preditivo,,"CVE-2021-40444, CVE-2022-30190",,,8
H00048,2023-02-03,vulnerability,Vulnerable ESXi servers,>1,"ransomware,vuln_exploit",0.6256,T002201,2023-01-26,cissp,vuln_exploit,"OSINT
Detect Citrix Vulnerabilities With the OSINT Tool: CVE-2022-27510, CVE-2022-27518
https://blog.criminalip.io/2023/01/20/citrix-vulnerability


⁩-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1401.11.06",-8,8,preditivo,,"CVE-2022-27510, CVE-2022-27518",,,8
H00649,2023-09-23,malware,Pinal County School Office Data Processing Service Consortium was the victim of a ransomware attack,US,"ransomware,malware",0.619,T001608,2023-09-16,cissp,"ransomware,malware","Malware analysis
MA detailed analysis of the Money Message Ransomware 2023


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.06.25",-7,7,preditivo,"ransomware, service",,money message,,8
H00926,2023-10-16,vulnerability,Xfinity,US,,0.6146,T001558,2023-10-10,cissp,"phishing,vuln_exploit","🔒 Hackers are exploiting the CVE-2023-3519 vulnerability in Citrix NetScaler devices for credential harvesting attacks. 
Patch your systems ASAP! Read more: https://thehackernews.com/2023/10/citrix-devices-under-attack-netscaler.html

🚨 Heads up, Linux users! A new critical vulnerability in the libcue library exposes GNOME Linux systems to remote code execution (RCE) attacks.  
Read details of CVE-2023-43641 here: https://thehackernews.com/2023/10/libcue-library-flaw-opens-gnome-linux.html


⁩-C",-6,6,preditivo,,"CVE-2023-3519, CVE-2023-43641",,,8
H00790,2023-11-08,malware,Industrial & Commercial Bank of China,US,"ransomware,malware,vuln_exploit",0.6043,T001520,2023-10-25,cissp,"data_breach,vuln_exploit","exploit
1. CVE-2023-4966:
Citrix NetScaler ADC/Gateway Bleed - Session Tokens Leak
https://github.com/assetnote/exploits/tree/main/citrix/CVE-2023-4966

2. CVE-2023-38140:
Windows Kernel Paged Pool Memory Disclosure
https://packetstormsecurity.com/files/cve/CVE-2023-38140


⁩-Cyber Security awareness-
 
Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.08.03",-14,14,preditivo,,"CVE-2023-38140, CVE-2023-4966",,,8
H00448,2023-07-15,malware,George County,US,"ransomware,malware",0.6025,T001788,2023-07-07,cissp,"ransomware,vuln_exploit","Microsoft uncovers the ruthless efficiency of ransomware attacks. 
In just 5 days, hackers complete the entire attack process, breaching systems, encrypting vital data, and holding organizations hostage. 
Details: https://thehackernews.com/2023/07/blackbyte-20-ransomware-infiltrate.html

🔒 Yet another critical SQL injection vulnerability (CVE-2023-36934) uncovered in popular MOVEit Transfer—the same software that was exploited in a series of recent cyberattacks to deploy Clop #ransomware. 
Read ",-8,8,preditivo,,CVE-2023-36934,"clop, blackbyte",,8
H00849,2023-11-22,vulnerability,CTS,GB,"ransomware,vuln_exploit",0.5997,T001493,2023-11-13,cissp,vuln_exploit,"Mexploit
Threat Research
1. Cisco IOS XE system WebUI unauthorized command execution vulnerability analysis
https://paper.seebug.org/3072

2. CVE-2023-44275/CVE-2023-44276:
**Vulnerabilities in OPNsense**
(FreeBSD-based firewall routing OS)
https://x41-dsec.de/lab/advisories/x41-2023-001-opnsense


⁩-Cyber Security awareness-
 
Up2date 4 Defence Today,
Secure Tomorrow
@CisoasaService
1402.08.22",-9,9,preditivo,,"CVE-2023-44275, CVE-2023-44276",,,8
H00430,2023-05-15,account takeover,"25 organizations worldwide, including U.S. and Western European government agencies",>1,"vuln_exploit,account_takeover",0.5551,T001937,2023-05-09,cissp,"ransomware,vuln_exploit,apt","🔒🚨 Heads up: Iranian state-sponsored hackers join financially motivated actors in exploiting a critical flaw (CVE-2023-27350) in PaperCut print management software to achieve initial access to vulnerable servers. 
Read details here: https://thehackernews.com/2023/05/microsoft-warns-of-state-sponsored.html

Recent ransomware attack on MSI has taken a new turn as hackers have leaked the company's private code signing keys on the #DarkWeb, including Intel Boot Guard used on 116 MSI products. 
Learn",-6,6,preditivo,including,CVE-2023-27350,,,7
H01661,2024-10-29,ddos,Unnamed internet service provider (ISP) from Eastern Asia,Unknown,ddos,0.6242,T000542,2024-10-25,PHOfficial,ddos,"‌**Protecting Your Website From DDoS Attack**

Distributed denial-of-service attacks pose an increasing threat to organizations, with even some of the…
[Read more on Professional Hackers](https://professionalhackers.in/protecting-your-website-from-ddos-attack/)

#hackercombat #Leaks",-4,4,preditivo,"from, service",,,,6
H00459,2023-06-07,malware,Japanese Android Users,JP,"phishing,malware",0.5888,T001878,2023-06-03,cissp,malware,"Malware analysis
1. **AceCryptor** **Technical analysis**
https://www.welivesecurity.com/2023/05/25/shedding-light-acecryptor-operation
2. DogeRAT Android Malware Campaign
https://cloudsek.com/blog/dogerat-the-android-malware-campaign-targeting-users-across-multiple-industries
3. FlowCloud malware infection via USB Flash Drive
https://insight-jp.nttsecurity.com/post/102ifpu/flowcloud-malware-infection-via-usb-flash-drive


-Cyber Security awareness-

Up2date 4 Defence Today,
Secure Tomorrow
@Cis",-4,4,preditivo,"android, users",,,,6
H01248,2024-05-25,ransomware,Seattle Public Library,US,ransomware,0.6395,T001330,2024-05-22,cissp,ransomware,"#DiyakoSecureBow
————————————
Among all cyber threats, ransomware groups continue to evolve into formidable adversaries, causing significant financial and operational disruptions.

This Ransomware Threat Landscape: Ransomware Resurgence 2023 report examines the evolving landscape of ransomware attacks from April 1, 2022, to March 31, 2023. The analysis includes 2,708 ransomware victims whose names were publicized by ransomware groups on their underground blogs. The report delves into the targete",-3,3,preditivo,public,,conti,,5
